,Round_0,Round_1,Round_2_512,Round_2_515,Round_2_513,Round_2_514,Round_2_516,Round_2_517
client_0,0.51350667425824,0.767571329157968,0.51350667425824,0.51350667425824,0.51350667425824,0.51350667425824,0.51350667425824,0.51350667425824
client_1,0.514518884038717,0.7642816473714177,0.514518884038717,0.514518884038717,0.514518884038717,0.514518884038717,0.514518884038717,0.514518884038717
client_2,0.5078129942430569,0.7677611184918074,0.5078129942430569,0.5078129942430569,0.5078129942430569,0.5078129942430569,0.5078129942430569,0.5078129942430569
client_3,0.5146454102612766,0.7680774340482065,0.5146454102612766,0.5146454102612766,0.5146454102612766,0.5146454102612766,0.5146454102612766,0.5146454102612766
client_4,0.5167963560447902,0.7636490162586196,0.5167963560447902,0.5167963560447902,0.5167963560447902,0.5167963560447902,0.5167963560447902,0.5167963560447902
client_5,0.5114189915860062,0.7651673309293351,0.5114189915860062,0.5114189915860062,0.5114189915860062,0.5114189915860062,0.5114189915860062,0.5114189915860062
client_6,0.514835199595116,0.7657999620421332,0.514835199595116,0.514835199595116,0.514835199595116,0.514835199595116,0.514835199595116,0.514835199595116
client_7,0.512810780034162,0.7686468020497248,0.512810780034162,0.512810780034162,0.512810780034162,0.512810780034162,0.512810780034162,0.512810780034162
client_8,0.5207819320554185,0.7621307015879041,0.5207819320554185,0.5207819320554185,0.5207819320554185,0.5207819320554185,0.5207819320554185,0.5207819320554185
client_9,0.5052824697918644,0.7547921806794459,0.5052824697918644,0.5052824697918644,0.5052824697918644,0.5052824697918644,0.5052824697918644,0.5052824697918644
